category,date,downloads
Linux,2020-06-19,2
Linux,2020-06-22,2
Linux,2020-07-06,2
null,2020-06-21,2
null,2020-06-23,2
null,2020-07-25,2
null,2020-07-28,2
null,2020-08-01,2
null,2020-08-03,2
null,2020-08-05,2
null,2020-09-01,2
Windows,2020-08-27,2
Windows,2020-08-28,2
Darwin,2020-06-18,1
Darwin,2020-06-21,1
Darwin,2020-06-25,1
Darwin,2020-06-26,1
Darwin,2020-07-02,1
Darwin,2020-07-08,1
Darwin,2020-07-17,1
Darwin,2020-07-18,1
Darwin,2020-07-22,1
Darwin,2020-08-05,1
Darwin,2020-08-20,1
Darwin,2020-08-21,1
Darwin,2020-08-22,1
Darwin,2020-08-24,1
Darwin,2020-09-02,1
Linux,2020-06-24,1
Linux,2020-07-09,1
Linux,2020-07-10,1
Linux,2020-07-13,1
Linux,2020-07-17,1
Linux,2020-07-18,1
Linux,2020-07-25,1
Linux,2020-07-26,1
Linux,2020-08-01,1
Linux,2020-08-05,1
Linux,2020-08-07,1
Linux,2020-08-09,1
Linux,2020-08-12,1
Linux,2020-08-18,1
Linux,2020-08-21,1
Linux,2020-08-26,1
Linux,2020-08-31,1
Linux,2020-09-08,1
null,2020-06-22,1
null,2020-06-25,1
null,2020-06-30,1
null,2020-07-08,1
null,2020-07-11,1
null,2020-07-30,1
null,2020-08-02,1
null,2020-08-08,1
null,2020-08-10,1
null,2020-08-12,1
null,2020-08-13,1
null,2020-08-22,1
null,2020-09-02,1
null,2020-09-05,1
null,2020-09-10,1
null,2020-09-11,1
Windows,2020-06-21,1
Windows,2020-06-25,1
Windows,2020-06-30,1
Windows,2020-07-02,1
Windows,2020-07-09,1
Windows,2020-07-10,1
Windows,2020-07-17,1
Windows,2020-07-20,1
Windows,2020-07-22,1
Windows,2020-07-29,1
Windows,2020-08-07,1
Windows,2020-08-10,1
Windows,2020-08-21,1
Windows,2020-08-25,1
Windows,2020-09-02,1
Windows,2020-09-07,1
Windows,2020-09-11,1
